trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
65,0,65,0,125.01847029999999,,125.00859990000004,125.01847029999999,126.0196148,126.0196148,126.82465190000016,0,up,1,0.7902208000000428,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
66,0,66,0,126.83708910000018,,126.82701220000013,126.83708910000018,127.8382938000002,127.8382938000002,128.51004350000017,-3,up,0,0.6667044000000715,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
67,0,67,0,128.52228390000005,,128.51237130000004,128.52228390000005,129.5234749000001,129.5234749000001,130.2784626,0,up,1,0.7446870000001127,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
68,0,68,0,130.29087160000017,,130.28082170000016,130.29087160000017,131.2920279,131.2920279,131.7968076000002,0,up,1,0.49420729999997093,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
69,0,69,0,131.80919910000011,,131.7991532000001,131.80919910000011,132.81039210000017,132.81039210000017,133.31510300000014,1,up,0,0.4949609000000237,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
70,0,70,0,133.32759520000013,,133.31750120000015,133.32759520000013,134.32873790000008,134.32873790000008,134.78337210000018,-3,up,0,0.44172059999982594,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
71,0,71,0,134.79577140000015,,134.78574950000007,134.79577140000015,135.79705669999998,135.79705669999998,136.71884420000015,2,up,0,0.9120163000000048,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
72,0,72,0,136.7312981,,136.72124600000006,136.7312981,137.7324248,137.7324248,138.6375700000001,-2,up,0,0.8987182999999277,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
73,0,73,0,138.65001660000007,,138.63993340000002,138.65001660000007,139.651159,139.651159,140.47335610000005,0,up,1,0.8211304999999811,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
74,0,74,0,140.4853935000001,,140.47571460000017,140.4853935000001,141.48657279999998,141.48657279999998,142.12476500000002,2,down,1,0.6216962999999396,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
75,0,75,0,142.13716710000017,,142.12708510000016,142.13716710000017,143.1383472,143.1383472,143.8265828000001,0,up,1,0.6800092000000859,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
76,0,76,0,143.83895900000016,,143.8289374000001,143.83895900000016,144.8401749000002,144.8401749000002,145.44516,1,up,0,0.6023483999999826,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
77,0,77,0,145.45746450000001,,145.44746470000018,145.45746450000001,146.45862880000004,146.45862880000004,147.06362880000006,0,up,1,0.5990535999999338,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
78,0,78,0,147.07590770000002,,147.0659673,147.07590770000002,148.07707630000004,148.07707630000004,148.70119840000007,4,down,1,0.6150049999998828,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
79,0,79,0,148.7266098,,148.70508830000017,148.7266098,149.71221760000003,149.728887,150.66740570000002,-5,down,1,0.9439558999999917,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
80,0,80,0,150.67985250000015,,150.66975070000012,150.67985250000015,151.68099890000008,151.68099890000008,152.3025811,-4,down,1,0.6134652999999162,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
81,0,81,0,152.3149588000001,,152.3049168,152.3149588000001,153.31610150000006,153.31610150000006,153.85439650000012,0,down,0,0.5363760000000184,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
82,0,82,0,153.86666520000017,,153.8567339000001,153.86666520000017,154.8678413,154.8678413,155.52433770000016,0,up,1,0.65491320000001,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
83,0,83,0,155.5548556000001,,155.52768960000003,155.5548556000001,156.53668779999998,156.5702291,157.02973150000003,0,up,1,0.49121039999999994,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
84,0,84,0,157.05285980000008,,157.0340467000001,157.05285980000008,158.03831750000018,158.05486410000003,158.61135480000007,0,up,1,0.5707150999999158,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
85,0,85,0,158.6220969000001,,158.61394610000002,158.6220969000001,159.6236143000001,159.6236143000001,160.27959950000013,0,up,1,0.6438163000000259,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
86,0,86,0,160.29028310000012,,160.28254090000019,160.29028310000012,161.29153410000004,161.29153410000004,161.89840960000015,3,down,1,0.6019175000001269,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
87,0,87,0,161.908815,,161.90145030000008,161.908815,162.91000170000007,162.91000170000007,163.7996598000002,2,down,1,0.8868806000000404,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
88,0,88,0,163.81083990000002,,163.80203640000013,163.81083990000002,164.8123091,164.8123091,165.5179105000002,4,down,1,0.6972631999999521,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
89,0,89,0,165.52948860000015,,165.52032789999998,165.52948860000015,166.53070270000012,166.53070270000012,167.5525493,2,down,1,1.0051795999997921,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
90,0,90,0,167.56494440000006,,167.55488720000017,167.56494440000006,168.56615320000014,168.56615320000014,169.37136210000017,2,down,1,0.7982737999998335,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
91,0,91,0,169.383599,,169.3736761,169.383599,170.38465840000003,170.38465840000003,171.02313330000015,4,down,1,0.6318677000001571,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
92,0,92,0,171.03543490000015,,171.0255208000001,171.03543490000015,172.0365968000001,172.0365968000001,172.84186790000012,-4,down,1,0.8029547999999522,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
93,0,93,0,172.85408690000008,,172.84423790000005,172.85408690000008,173.85528190000014,173.85528190000014,174.5769745,0,up,1,0.7103773999999703,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
94,0,94,0,174.5892871000001,,174.57932330000017,174.5892871000001,175.5904826000001,175.5904826000001,176.24552919999996,0,up,1,0.6533322000000226,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
95,0,95,0,176.25780170000007,,176.24786919999997,176.25780170000007,177.25896349999994,177.25896349999994,178.1642339,-4,down,1,0.9012576000000081,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
96,0,96,0,178.17655400000012,,178.16653970000016,178.17655400000012,179.1784421000002,179.1784421000002,180.48376580000013,1,up,0,1.29938889999994,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
97,0,97,0,180.49591099999998,,180.48611720000008,180.49591099999998,181.4969701,181.4969701,182.70511910000005,0,up,1,1.1992648999998892,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
98,0,98,0,182.7148943000002,,182.70750799999996,182.7148943000002,183.71603989999994,183.71603989999994,184.3542563000001,4,down,1,0.6313669999999547,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
99,0,99,0,184.3666705999999,,184.35656830000016,184.3666705999999,185.36783160000005,185.36783160000005,186.05610049999996,0,up,1,0.6715904000002411,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
